Status,Material_Description,Material_Code,Code_Material,RK,Tahun,Created_On_SAP,No_Order,Batch,Batch_Ke,GB_Mesin_L1,GB_Mesin_L2,GB_Yield_Kg_L1,GB_Yield_Kg_L2,GB_Tanggal_CB_L1,GB_Tanggal_CB_L2,GB_Kadar_Air_L1,GB_Kadar_Air_L2,GB_Keterangan,GK_Mesin_L1,GK_Mesin_L2,GK_Yield_Kg_L1,GK_Yield_Kg_L2,GK_Tanggal_CK_L1,GK_Tanggal_CK_L2,GK_Keterangan,Cetak_Mesin,Cetak_Tgl_Mulai,Cetak_Tgl_Selesai,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Cetak_Keterangan,Cetak_Total,Kemas_Mesin,Kemas_Tgl_Mulai,Kemas_Tgl_Selesai,Kemas_Yield_Blister,Kemas_Pct_Teoritis,Kemas_Keterangan,Kemas_Total,Kemul_Tambahan,Tgl_Kemul,Mesin_Sealing,Sealing,Forming,Hasil_Blister_Reject,Tablet_Rusak_Kg,Sampah_Cacahan_Kg,Blister_Kosong_Kg,Waste_Sedotan_Kg,Waste_Sample_IPC_Kg
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021326,061484 7,7,CB  2,,428.9,,2024-06-12 00:00:00,,"5,25/5,43/5,54",,SELESAI,CK2-1,CK1-1,466,307.32,2024-06-12 00:00:00,2024-06-12 00:00:00,SELESAI,,2024-06-12 00:00:00,2024-06-12 00:00:00,744,0.93,Selesai,1,MEDISEAL 2,2024-06-15 00:00:00,2024-06-15 00:00:00,103013,0.9810761904761904,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021327,061484 8,8,CB  2,,435.4,,2024-06-12 00:00:00,,"5,47/5,29/5,30",,SELESAI,CK2-1,CK3-1,473.1,307.8,2024-06-12 00:00:00,2024-06-13 00:00:00,SELESAI,,2024-06-13 00:00:00,2024-06-14 00:00:00,746,0.9325,Selesai,1,MEDISEAL 2,2024-06-20 00:00:00,2024-06-20 00:00:00,103417,0.9849238095238095,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021328,061484 9,9,CB  2,,435.7,,2024-06-12 00:00:00,,"5,40/5,59/5,43",,SELESAI,CK2-1,CK1-1,473.22,307.46,2024-06-14 00:00:00,2024-06-14 00:00:00,SELESAI,,2024-06-18 00:00:00,2024-06-18 00:00:00,749,0.93625,Selesai,1,MEDISEAL 2,2024-06-20 00:00:00,2024-06-20 00:00:00,101051,0.9623904761904762,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021329,061894 1,10,CB  2,,427.2,,2024-06-13 00:00:00,,"5,57/5,31/5,19",,SELESAI,CK1-1,CK2-1,464.6,307.44,2024-06-18 00:00:00,2024-06-18 00:00:00,SELESAI,,2024-06-18 00:00:00,2024-06-19 00:00:00,743,0.92875,Selesai,1,MEDISEAL 2,2024-06-21 00:00:00,2024-06-21 00:00:00,103412,0.9848761904761905,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021330,061894 2,11,CB  2,,431.4,,2024-06-13 00:00:00,,"5,38/5,52/5,53",,SELESAI,CK1-1,CK2-1,469.12,307.44,2024-06-18 00:00:00,2024-06-18 00:00:00,SELESAI,,2024-06-19 00:00:00,2024-06-19 00:00:00,747,0.93375,Selesai,1,MEDISEAL 2,2024-06-21 00:00:00,2024-06-21 00:00:00,103789,0.9884666666666667,"SELESAI, speed 290",1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,06,2024,2024-04-06 00:00:00,300021331,061894 3,12,CB  2,,429.3,,2024-06-14 00:00:00,,"5,22/5,23/5,19",,SELESAI,CK1-1,CK2-1,468.04,307,2024-06-18 00:00:00,2024-06-18 00:00:00,SELESAI,,2024-06-19 00:00:00,2024-06-20 00:00:00,745,0.93125,Selesai,1,MEDISEAL 2,2024-06-21 00:00:00,2024-06-22 00:00:00,103557,0.9862571428571428,SELESAI,1,,,,,,,,,,,
s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,08,2024,2024-07-24 00:00:00,300021499,080674 1,1,CB  2,,431.14,,2024-06-25 00:00:00,,"5,42/5,52/5,37",,SELESAI,CK2-1,CK3-1,468.88,307.68,2024-07-26 00:00:00,2024-07-26 00:00:00,SELESAI,,2024-07-29 00:00:00,2024-07-29 00:00:00,734,0.9175,Selesai,1,MEDISEAL 3,2024-08-01 00:00:00,2024-08-01 00:00:00,101840,0.9699047619047619,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,08,2024,2024-07-24 00:00:00,300021628,080674 2,2,CB  2,,431.65,,2024-06-25 00:00:00,,"5,59/5,37/5,54",,SELESAI,CK2-1,CK3-1,469.38,307.6,2024-07-26 00:00:00,2024-07-26 00:00:00,SELESAI,,2024-07-29 00:00:00,2024-07-30 00:00:00,729,0.91125,Selesai,1,MEDISEAL 3,2024-07-31 00:00:00,2024-07-31 00:00:00,92108,0.8772190476190476,SELESAI,1,,,,,,,,,,,
s,APC PLUS TABLET/20E NF NG,APCP,F1791,08,2024,2024-07-24 00:00:00,300021629,080674 3,3,CB  2,,433.33,,2024-06-25 00:00:00,,"5,17/5,27/5,50",,SELESAI,CK2-1,CK3-1,471.04,307.7,2024-07-29 00:00:00,2024-07-29 00:00:00,SELESAI,,2024-07-30 00:00:00,2024-07-30 00:00:00,735,0.91875,Selesai,1,MEDISEAL 3,2024-08-01 00:00:00,2024-08-01 00:00:00,102007,0.9714952380952381,SELESAI,1,,,,,,,,,,,
