row_no,material_desc,cb1_bulan,cb1_shift,cb1_line,cb1_suhu_rata,cb2_suhu_rata,cb1_rata_ka,cb2_rata_ka,cb1_pct_yield,ck1_pct_yield,ka_ekstrem_count,is_defect,consensus_label,rf_status,gb_status,if_status,rf_proba_defect,gb_proba_defect,cluster
30,BODREX FLU & BATUK PE/4'S,FEBRUARI,3,CB 1,73.58,72.36,4.885,3.3925,100.3478,100.2857,0,0,Normal,Normal,Normal,Defect,0.1792610680265243,1.1496442578316688e-05,0
31,BODREX FLU & BATUK PE/4'S,FEBRUARI,3,CB 1,73.6,71.43,4.995,3.39,101.1037,101.0476,0,1,Defect,Normal,Defect,Normal,0.2650443265041603,0.9999443474737268,0
32,BODREX FLU & BATUK PE/4'S,FEBRUARI,3,CB 1,73.47,71.63,4.9,3.4125,102.8528,102.5714,0,0,Normal,Normal,Normal,Defect,0.1545310353668531,1.6325385356778192e-05,0
33,BODREX FLU & BATUK PE/4'S,FEBRUARI,1,CB 1,74.65,72.1,4.890000000000001,3.3774999999999995,101.7391,101.6825,0,0,Normal,Normal,Defect,Normal,0.1750401402933722,0.9999464450064746,0
34,BODREX FLU & BATUK PE/4'S,FEBRUARI,1,CB 1,74.43,72.29,4.93,3.335,102.5117,102.381,0,0,Normal,Normal,Normal,Normal,0.0901282912669222,1.059841616376784e-05,0
35,BODREX FLU & BATUK PE/4'S,FEBRUARI,2,CB 1,75.1,71.94,5.02,3.285,102.1037,102.0,0,0,Normal,Normal,Normal,Defect,0.1042030824153407,1.059841616376784e-05,0
36,BODREX FLU & BATUK PE/4'S,FEBRUARI,1,CB 1,73.75,71.61,4.95,3.3575,101.4548,101.3651,0,1,Defect,Defect,Defect,Normal,0.5851549700038142,0.9999492706727166,0
37,BODREX FLU & BATUK PE/4'S,MARET,1,CB 1,73.92,71.43,4.965,3.385,102.4047,102.3175,0,0,Normal,Normal,Normal,Normal,0.199867938390906,1.1624620661199462e-05,0
38,BODREX FLU & BATUK PE/4'S,MARET,1,CB 1,74.02,71.55,5.05,3.4375,102.4281,102.2857,0,0,Normal,Normal,Normal,Normal,0.1376921730620244,1.059841616376784e-05,0
39,BODREX FLU & BATUK PE/4'S,MARET,2,CB 1,74.22,71.39,4.970000000000001,3.3375,100.9766,100.7937,0,0,Normal,Normal,Normal,Normal,0.1598739381481028,1.0562192837827576e-05,0
40,BODREX FLU & BATUK PE/4'S,MARET,2,CB 1,74.75,71.52,4.984999999999999,3.385,102.2542,102.127,0,0,Normal,Normal,Normal,Normal,0.0888440080554735,1.059841616376784e-05,0
41,BODREX FLU & BATUK PE/4'S,MARET,1,CB 1,74.32,71.65,4.925,3.45,102.6689,102.5397,0,0,Normal,Normal,Normal,Normal,0.1176346995859116,1.059841616376784e-05,0
42,BODREX FLU & BATUK PE/4'S,MARET,1,CB 1,74.12,71.6,4.995,3.4650000000000003,100.3612,0.0,0,1,Defect,Defect,Defect,Normal,0.6921793650635094,0.9999716456105174,0
43,BODREX FLU & BATUK PE/4'S,MARET,1,CB 1,74.11,71.61,5.02,3.3575,50.6789,100.6032,0,1,Defect,Defect,Defect,Normal,0.7939446876211699,0.9999716456105174,0
44,BODREX FLU & BATUK PE/4'S,MARET,1,CB 1,74.5,71.54,4.98,3.3200000000000003,103.8127,103.5873,0,1,Defect,Defect,Defect,Normal,0.6165539826052373,0.999966553698788,0
45,BODREX FLU & BATUK PE/4'S,MARET,1,CB 1,74.1,71.61,4.984999999999999,3.3575,102.2124,102.03175,0,0,Normal,Normal,Normal,Normal,0.4345782808331742,1.059841616376784e-05,0
46,BODREX FLU & BATUK PE/4'S,MARET,1,CB 1,74.1,71.61,4.984999999999999,3.3575,102.2124,102.03175,0,0,Normal,Normal,Normal,Normal,0.43410769259788,1.059841616376784e-05,0
